"Polska";"Austria";"Belgia";"Czechy";"Dania";"Finlandia";"Francja";"Niemcy";"Grecja";"Wegry";"Irlandia";"Wlochy";"Luksemburg";"Holandia";"Portugalia";"Slowacja";"Hiszpania";"Szwecja";"Wielka Brytania";"Estonia";"Slowenia";"Lotwa";"Litwa";"OECD"
8.856089;10.91582;17.8969;6.923626;9.428451;14.33289;12.29839;10.70874;13.89001;7.179812;11.37088;11.48234;12.72682;9.048736;11.0073;9.887567;15.71509;6.91493;13.7;9.305647;6.718608;12.59253;12.63471;13.77794
10.21255;11.15344;16.19923;8.306596;8.442226;11.83144;10.9928;10.14158;12.72476;10.17759;11.96255;13.80514;11.54431;7.396403;14.97651;11.07078;12.83322;2.538074;15.9;10.08204;7.839333;13.42547;12.23186;10.68913
9.226191;6.979617;12.55704;9.15952;5.833338;6.224066;7.41271;7.384283;13.20596;10.95757;9.579668;15.82654;9.237081;8.367265;11.48643;9.258123;7.777219;0.7611068;9.4;13.19636;8.219839;13.37668;9.43044;7.21945
9.391049;4.041916;5.710122;7.97028;2.185751;3.205313;4.572133;4.940676;10.01441;10.28566;9.495078;15.46082;6.360831;6.575721;10.07958;7.605548;7.790166;-0.7949595;6.1;11.98036;8.608752;8.227062;7.897195;2.591245
8.014528;5.29623;4.409401;6.742323;3.729815;3.84171;5.357775;6.333749;11.22064;9.058083;9.891857;14.04827;7.398656;5.871762;11.51103;6.214264;11.04192;-0.2298987;3.6;9.950748;10.06825;7.087487;6.375763;3.011255
4.985889;3.298969;2.383936;4.871626;1.976874;3.130435;3.255747;4.314418;16.9308;4.706244;8.45463;11.77281;6.006577;7.164499;5.519405;4.857398;8.774913;0.5316654;1;7.383801;6.623134;6.552326;3.171336;3.746289
0.04541326;1.039261;-2.342952;2.074167;-0.09629436;0.1953125;1.75786;2.662246;10.82813;-2.249795;3.062742;4.447436;0.5971681;3.264737;1.535446;-0.4489338;4.76716;-2.659955;3.4;7.980913;4.246981;0.143091;1.670499;2.027567
-2.4592;-0.8920863;-3.875745;0.5630279;-0.9394432;-0.8953553;0.2550722;1.65246;7.423193;-6.553557;-0.6090487;-1.424891;-3.062752;1.041429;-1.047843;-0.6373938;-1.138358;-2.894176;3.2;6.613189;1.837138;-2.261354;-1.077615;0.8601533
-2.151984;-1.108269;-4.088504;0.1563477;-2.087289;-0.3337969;0.6509922;1.08762;7.940013;-5.105811;-0.260492;-1.219582;-2.777587;0.05617453;-1.28228;-0.4674883;-2.152416;-0.4342463;4.6;5.192431;1.416055;-3.499085;-3.342443;2.107557
-2.307348;-2.224123;-4.959583;-0.03138732;-0.7516512;-1.068016;0.2601131;0.1156345;0.4947633;-7.893568;-2.62707;-3.094239;-5.1883;-2.460515;-1.83003;-0.6941493;-1.10607;-1.544899;2.4;3.132134;1.36233;-3.859757;-2.085087;0.1202137
-1.29369;-2.142857;-3.696803;-4.956897;-0.7193635;-1.169591;-1.500289;-2.003745;-1.718362;-8.0011;-1.990767;-3.025799;-4.841739;-2.376527;-1.443354;-2.818489;-1.038132;-3.440463;1;-3.873148;-1.781785;-2.812648;-2.457949;0.8506542
-0.7792803;-0.6097561;-6.589962;-4.07465;1.390989;-0.7340485;-0.1826705;-0.82305;1.508488;-5.767301;-0.5544208;-1.669749;-3.093004;-0.3762824;0.1337146;-1.553813;2.386501;-1.011272;1.1;-3.910761;-0.1110152;-1.260496;-2.939578;2.99314
-0.5040092;-1.695402;-7.211635;-2.653762;0.08840265;-1.451298;-1.555121;-1.842655;0.07717992;-6.120006;-0.4352873;-3.538348;-4.061476;-1.317968;-0.8048378;-1.465984;-0.2091758;-2.006066;0.3;-3.980186;-1.657896;-1.161931;-4.620311;0.9200937
-1.857372;-3.674541;-7.346413;-2.982732;-1.776582;-3.607955;-2.665263;-3.744432;-7.024984;-7.39452;-2.844575;-3.584031;-6.524004;-2.324475;-3.429469;-1.326676;-4.289093;-4.114263;-1.9;-4.276607;-2.080765;-2.731846;-5.490026;-2.898245
-4.644746;-7.855784;-11.2514;-3.206997;-6.826696;-8.284863;-5.408663;-7.328595;-11.68468;-9.954249;-9.214012;-8.221167;-10.58392;-5.849194;-5.723577;-3.204756;-9.693029;-3.262666;-8.4;-6.499009;-6.618539;-2.023892;-13.44347;-11.40188
-3.280203;-5.443391;-5.637474;-1.750973;-6.057399;-3.653713;-2.984717;-5.580936;-9.35926;-6.117464;-5.897887;-6.205122;-6.820358;-3.988711;-1.818714;-2.867072;-6.436337;-3.343575;-6.5;-4.261131;-5.606323;-0.3264475;-10.1008;-9.993454
-3.983422;-7.931936;-3.628437;-3.046825;-6.873982;-6.017732;-5.132203;-7.666076;-10.91252;-7.581971;-8.248324;-6.741225;-10.17554;-5.944682;-3.643214;-3.813376;-9.737338;-6.145166;-7.7;-7.910218;-6.829993;-4.06041;-10.75373;-10.58224
